clause_id	category	requirement	frozen_source	implementation_evidence	independent_validation	observed_value	expected_value	status	blocking	notes
B-05	Git and identity	The readiness identity-lock commit is on main history	experiments/fuzzer_v0/family_a/readiness_amendment/amendment_source_lock.yaml	Git history	git merge-base --is-ancestor	bae879484abab51e369af13ed46db5762f457242 is starting HEAD	ancestor and starting HEAD	PASS	true	Identity-lock is the review base.
B-06	Git and identity	The implementation manifest hash matches the locked value	experiments/fuzzer_v0/family_a/readiness_amendment/amendment_source_lock.yaml	implementation_manifest.yaml	Independent SHA-256	231a6a1e2678e4bc7ec8a0fd1f896286ae4890708a9ecdd588926d063fe15db4	locked SHA-256	PASS	true	Hash is recomputed independently.
B-07	Git and identity	The environment-lock hash matches the locked value	experiments/fuzzer_v0/family_a/readiness_amendment/amendment_source_lock.yaml	environment_lock.yaml	Independent SHA-256	62f6c5179bdd8ecfbf94089fcf025cfdde25bcf53e929fdf349956e61973449b	locked SHA-256	PASS	true	Content identity passes; readiness is reviewed separately.
B-08	Git and identity	The Oracle lock identities match current files	experiments/fuzzer_v0/family_a/oracle_lock.yaml	scripts/oracles and schemas	Independent SHA-256 for every identity	22 identity records match	22 records	PASS	true	Threshold profiles are unchanged.
B-09	Git and identity	The compact-evidence schema identity matches the manifest	experiments/fuzzer_v0/family_a/readiness_amendment/implementation_manifest.yaml	family_a_fuzzer_v0_compact_evidence.schema.json	Independent SHA-256	82d9ef8d0699246e6941abe42a8d865e7d23768c82ade8e4bf17912efe82ebb6	manifest SHA-256	PASS	true	Schema parsing also passes.
B-10	Git and identity	No later activation decision existed at the starting HEAD	Git history	activation_rereview absent at starting HEAD	git log and tree inspection	only original DECLINE and readiness amendment are present	no later decision	PASS	true	The new bundle is additive.
C-01	Frozen design integrity	The seed catalog is unchanged	experiments/fuzzer_v0/family_a/activation_review/review_source_lock.yaml	seed_catalog.tsv	Independent SHA-256	3e9d1e848f6633646c21f3e6fed65c0c7c60eef18ca5ae4ca56d2f41185a115b	locked SHA-256	PASS	true	No seed row changed.
C-02	Frozen design integrity	The state model is unchanged	experiments/fuzzer_v0/family_a/activation_review/review_source_lock.yaml	state_model.yaml	Independent SHA-256	613ecc5e9cd0828f9e5670243b0c0613e813f1649aa08f5185f3a08928e3afdb	locked SHA-256	PASS	true	Semantic state identity is intact.
C-03	Frozen design integrity	The event grammar is unchanged	experiments/fuzzer_v0/family_a/activation_review/review_source_lock.yaml	event_grammar.yaml	Independent SHA-256	44dfdc0f74f1233fe3bfa1245a5b373f823c7ce3c1ac45687097b79fc4782192	locked SHA-256	PASS	true	Reachable event scope is intact.
C-04	Frozen design integrity	The bounded variation grammar is unchanged	experiments/fuzzer_v0/family_a/activation_review/review_source_lock.yaml	mutation_grammar.yaml	Independent SHA-256	8046ca1c1fa0b116597c6e5c3cf3a50f03e0821097ef22e6bc43a8a17c6b1bad	locked SHA-256	PASS	true	No variation domain changed.
C-05	Frozen design integrity	The strategy matrix is unchanged	experiments/fuzzer_v0/family_a/activation_review/review_source_lock.yaml	strategy_matrix.yaml	Independent SHA-256	2d1d8b968f7d125a525e1d4b3284c1ada69413755f7e69fd0b72cd801bdf419c	locked SHA-256	PASS	true	Comparison strategies remain frozen.
C-06	Frozen design integrity	The campaign budgets are unchanged	experiments/fuzzer_v0/family_a/activation_review/review_source_lock.yaml	campaign_matrix.yaml	Independent SHA-256 and field inspection	target 3 cap 6 comparison 36	target 3 cap 6 comparison 36	PASS	true	No budget transfer is allowed.
C-07	Frozen design integrity	The Oracle thresholds are unchanged	experiments/fuzzer_v0/family_a/activation_review/review_source_lock.yaml	oracle_lock.yaml	Independent SHA-256	2f0211a771de6bacc56f386dcf81babad2514227ea0cdf727a64e9ebea0980c2	locked SHA-256	PASS	true	Route Freshness Successor and clock thresholds remain frozen.
C-08	Frozen design integrity	The evidence rules are unchanged	experiments/fuzzer_v0/family_a/activation_review/review_source_lock.yaml	evidence_rules.yaml	Independent SHA-256	5d9ae09b8f04fe594839ab8970df4b34e81ca40a953b699c792bf573754f6361	locked SHA-256	PASS	true	Outcome classes remain non-collapsing.
C-09	Frozen design integrity	The safety limits are unchanged	experiments/fuzzer_v0/family_a/activation_review/review_source_lock.yaml	safety_rules.yaml	Independent SHA-256	e73849e0c7c929b319a10a0905a5b39f554d7bd55429878a10d3346ae312bd00	locked SHA-256	PASS	true	W1 and Family B limits are not used.
C-10	Frozen design integrity	The frozen attempt ledger is unchanged	experiments/fuzzer_v0/family_a/activation_review/review_source_lock.yaml	attempt_ledger.yaml	Independent SHA-256	cc1e34eb3a20d26d028fd050ced2b53e074b6f957b1e64788f82c7fa285023e1	locked SHA-256	PASS	true	Formal attempts remain zero.
D-01	Seed and scenario mapping	The catalog contains 61 unique seeds	experiments/fuzzer_v0/family_a/seed_catalog.tsv	Independent TSV parser	Independent row and uniqueness count	61	61	PASS	true	Header excluded.
D-02	Seed and scenario mapping	The current accepted runtime pool contains 50 seeds	experiments/fuzzer_v0/family_a/seed_catalog.tsv	Independent TSV parser	Independent status cross-tabulation	50	50	PASS	true	All are current runtime seeds.
D-03	Seed and scenario mapping	The historical replay pool contains one seed	experiments/fuzzer_v0/family_a/seed_catalog.tsv	Independent TSV parser	Independent status cross-tabulation	1	1	PASS	true	Issue 162 only.
D-04	Seed and scenario mapping	The excluded pool contains 10 seeds	experiments/fuzzer_v0/family_a/seed_catalog.tsv	Independent TSV parser	Independent status cross-tabulation	10	10	PASS	true	Excluded provenance remains visible.
D-05	Seed and scenario mapping	The catalog has no unresolved seed	experiments/fuzzer_v0/family_a/seed_catalog.tsv	Independent TSV parser	Independent status cross-tabulation	0	0	PASS	true	All rows have resolved scope.
D-06	Seed and scenario mapping	The qualification map has exactly six slots	experiments/fuzzer_v0/family_a/activation_review/qualification_runbook.md	qualification_scenario_map.tsv	Independent TSV parser	6 unique slots	6	PASS	true	The order is V0P-S1 through V0P-S6.
D-07	Seed and scenario mapping	Every slot uses an accepted current Family A runtime seed	experiments/fuzzer_v0/family_a/seed_catalog.tsv	qualification_scenario_map.tsv	Independent join on seed_id	6 of 6	6 of 6	PASS	true	No replay or excluded row enters the map.
D-08	Seed and scenario mapping	The map excludes historical replay and R1	experiments/fuzzer_v0/family_a/preregistration.yaml	qualification_scenario_map.tsv	Independent source/status filter	0 historical and 0 R1	0	PASS	true	No session-rollover scope enters qualification.
D-09	Seed and scenario mapping	The map excludes W1 Family B and direct actuator	experiments/fuzzer_v0/family_a/preregistration.yaml	qualification_scenario_map.tsv	Independent source/setpoint filter	0 W1 0 B1/Family B 0 direct actuator	0	PASS	true	Only Family A current scope remains.
D-10	Seed and scenario mapping	The map excludes validation-only mutants	experiments/fuzzer_v0/family_a/seed_catalog.tsv	qualification_scenario_map.tsv	Independent source/status filter	0 ORACLE_VALIDATION rows	0	PASS	true	No mutant enters qualification.
D-11	Seed and scenario mapping	The map adds no route pair	experiments/fuzzer_v0/family_a/seed_catalog.tsv	qualification_scenario_map.tsv	Independent field-by-field join	6 of 6 source and target routes match	6 of 6	PASS	true	Mechanism and lifecycle also match.
D-12	Seed and scenario mapping	Every slot declares adapter collector Oracle safety and cleanup bindings	experiments/fuzzer_v0/family_a/evidence_rules.yaml	qualification_scenario_map.tsv and implementation_manifest.yaml	Independent key and path resolution	6 of 6 declarations resolve	6 of 6	PASS	true	Declaration is distinct from invocation readiness reviewed in F-07.
E-01	V0-P runner	The formal runner entry is unique	experiments/fuzzer_v0/family_a/readiness_amendment/implementation_manifest.yaml	run_v0p_qualification.py	Repository path count	one entry	one	PASS	true	No old prototype import is present.
E-02	V0-P runner	No subcommand starts no runtime	experiments/fuzzer_v0/family_a/evidence_rules.yaml	run_v0p_qualification.py	CLI negative test	exit 2 and no runtime	exit nonzero	PASS	true	Only help text is emitted.
E-03	V0-P runner	The plan command is read-only	experiments/fuzzer_v0/family_a/campaign_matrix.yaml	run_v0p_qualification.py	CLI output and source inspection	STATIC_PLAN_PASS runtime_started=false	read-only PASS	PASS	true	Six slots are rendered.
E-04	V0-P runner	The preflight command is read-only	experiments/fuzzer_v0/family_a/safety_rules.yaml	run_v0p_qualification.py	CLI output and source inspection	STATIC_PREFLIGHT_PASS runtime_started=false	read-only PASS	PASS	true	This does not cure deeper binding findings.
E-05	V0-P runner	The current execute command refuses	experiments/fuzzer_v0/family_a/activation_review/qualification_activation_decision.json	run_v0p_qualification.py	CLI refusal test	exit 4 EXECUTE_REFUSED runtime_started=false	refused	PASS	true	No scenario command was reached.
E-06	V0-P runner	Comparison strategies are refused	experiments/fuzzer_v0/family_a/preregistration.yaml	common.py and runner	Three CLI negative tests	all three comparison strategies refused	all refused	PASS	true	No comparison arm is reachable.
E-07	V0-P runner	Historical replay is refused	experiments/fuzzer_v0/family_a/seed_catalog.tsv	common.py and runner	CLI negative test	ISSUE162_HISTORICAL_REPLAY refused	refused	PASS	true	Historical runtime remains unauthorized.
E-08	V0-P runner	An unmapped seed is refused	experiments/fuzzer_v0/family_a/seed_catalog.tsv	common.py and runner	CLI negative test	unmapped accepted seed refused	refused	PASS	true	Only six mapped seeds are selectable.
E-09	V0-P runner	Attempt seven and non-V0-P phases are refused	experiments/fuzzer_v0/family_a/campaign_matrix.yaml	common.py and runner	CLI negative tests	V0P-A7 and V0_A refused	refused	PASS	true	The maximum remains six.
E-10	V0-P runner	The old prototype and Route Oracle 0.3 identity are not referenced	experiments/fuzzer_v0/family_a/oracle_lock.yaml	run_v0p_qualification.py	Source token inspection	no old executor import and no 0.3 result identity	absent	PASS	true	The retained threshold-profile name is not an executable identity.
E-11	V0-P runner	The runner accepts the only permitted approval and identity-lock contract	User activation re-review contract	run_v0p_qualification.py	Independent required-decision fixture	The required APPROVE_QUALIFICATION_ONLY contract is rejected and the identity-lock edit breaks decision hash equality	required contract accepted	FAIL	true	A future separate qualification task cannot satisfy this runner contract.
E-12	V0-P runner	The runner requires the exact pushed decision and ledger identity	experiments/fuzzer_v0/family_a/evidence_rules.yaml	run_v0p_qualification.py	Source and negative-path inspection	local resolved commits and arbitrary ledger paths can pass identity shape checks	exact origin/main decision and ledger required	FAIL	true	The runner does not prove pushed authorization continuity.
E-13	V0-P runner	The runner does not modify the frozen attempt ledger	experiments/fuzzer_v0/family_a/attempt_ledger.yaml	run_v0p_qualification.py	Source and hash inspection	frozen ledger hash unchanged	unchanged	PASS	true	Qualification accounting readiness is reviewed in K-09.
F-01	Collector and Oracle bindings	All declared adapter paths exist	experiments/fuzzer_v0/family_a/readiness_amendment/implementation_manifest.yaml	adapter sources	Independent path and SHA-256 check	all adapter records match	all match	PASS	true	Source identities are intact.
F-02	Collector and Oracle bindings	All declared collector paths exist	experiments/fuzzer_v0/family_a/readiness_amendment/implementation_manifest.yaml	collector sources	Independent path and SHA-256 check	all collector records match	all match	PASS	true	Invocation is reviewed separately.
F-03	Collector and Oracle bindings	All declared Oracle paths exist	experiments/fuzzer_v0/family_a/oracle_lock.yaml	Oracle sources	Independent path and SHA-256 check	all Oracle records match	all match	PASS	true	Route Oracle is 0.4.
F-04	Collector and Oracle bindings	Route trace and clock bridge declarations cover every slot	experiments/fuzzer_v0/family_a/evidence_rules.yaml	implementation_manifest.yaml	Independent binding cross-check	6 of 6 declare route trace and clock bridge	6 of 6	PASS	true	Declaration is not treated as execution evidence.
F-05	Collector and Oracle bindings	Writer/controller lineage collection is declared for every slot	experiments/fuzzer_v0/family_a/evidence_rules.yaml	implementation_manifest.yaml	Independent binding cross-check	6 of 6 declare actuator writer collector	6 of 6	PASS	true	Actual invocation is reviewed in F-07.
F-06	Collector and Oracle bindings	Applicable Oracles match seed semantics	experiments/fuzzer_v0/family_a/seed_catalog.tsv	qualification_scenario_map.tsv and implementation_manifest.yaml	Independent three-way join	6 of 6 include every applicable Oracle	6 of 6	PASS	true	NOT_APPLICABLE Oracles remain distinct.
F-07	Collector and Oracle bindings	Each scenario entry invokes its complete declared collector and Oracle bundle	experiments/fuzzer_v0/family_a/evidence_rules.yaml	run_p0_scenario.sh run_route_experiment.sh run_c1_concurrency.sh	Independent source call-graph inspection	P0 executor misses Successor; P2/P3 miss Freshness; C1 misses Route and Successor	all declared bundles invoked	FAIL	true	The manifest alone cannot establish orchestration binding.
F-08	Collector and Oracle bindings	Each scenario produces the evidence inputs required by runner closure	experiments/fuzzer_v0/family_a/evidence_rules.yaml	scenario entries and runner	Independent required-file producer search	no scenario produces safety_evidence cleanup_evidence or compact_evidence	all required inputs produced	FAIL	true	An otherwise successful runtime would fail after launch.
F-09	Collector and Oracle bindings	Missing manifest components cause preflight refusal	experiments/fuzzer_v0/family_a/readiness_amendment/implementation_manifest.yaml	common.py	Independent manifest negative fixture	hash or path mismatch raises ContractError	refused	PASS	true	Component declaration checking is effective.
G-01	Compact evidence	A complete template validates against schema	experiments/fuzzer_v0/family_a/evidence_rules.yaml	build_v0p_compact_evidence.py	Independent completed fixture	valid fixture accepted	accepted	PASS	true	The fixture is not an attempt.
G-02	Compact evidence	Missing repository identity is rejected	experiments/fuzzer_v0/family_a/evidence_rules.yaml	build_v0p_compact_evidence.py	Independent negative fixture	missing commit rejected	rejected	PASS	true	No default identity is inferred.
G-03	Compact evidence	Missing raw manifest hash is rejected	experiments/fuzzer_v0/family_a/evidence_rules.yaml	build_v0p_compact_evidence.py	Independent negative fixture	empty raw hash map rejected	rejected	PASS	true	Raw evidence identity is required.
G-04	Compact evidence	Missing critical-window status is rejected	experiments/fuzzer_v0/family_a/evidence_rules.yaml	build_v0p_compact_evidence.py	Independent negative fixture	null critical window rejected	rejected	PASS	true	Incomplete evidence is not accepted.
G-05	Compact evidence	Invalid clock cannot be accepted	experiments/fuzzer_v0/family_a/oracle_lock.yaml	build_v0p_compact_evidence.py	Independent negative fixture	INVALID clock with ACCEPTED rejected	rejected	PASS	true	Cross-domain evidence remains inadmissible.
G-06	Compact evidence	UNKNOWN cannot convert to PASS	experiments/fuzzer_v0/family_a/evidence_rules.yaml	build_v0p_compact_evidence.py	Independent negative fixture	UNKNOWN applicable Oracle cannot yield ACCEPTED	rejected	PASS	true	Outcome semantics are preserved.
G-07	Compact evidence	NOT_APPLICABLE cannot convert to PASS	experiments/fuzzer_v0/family_a/evidence_rules.yaml	build_v0p_compact_evidence.py	Independent negative fixture	applicable Oracle NOT_APPLICABLE rejected	rejected	PASS	true	Applicability is mapped from the seed.
G-08	Compact evidence	EXPOSURE remains distinct from VIOLATION	experiments/fuzzer_v0/family_a/evidence_rules.yaml	build_v0p_compact_evidence.py	Independent accepted fixture	EXPOSURE remains an Oracle result	unchanged	PASS	true	No semantic collapse occurs.
G-09	Compact evidence	Non-CLEAN cleanup cannot be accepted	experiments/fuzzer_v0/family_a/evidence_rules.yaml	build_v0p_compact_evidence.py	Independent negative fixture	residual cleanup with ACCEPTED rejected	rejected	PASS	true	Cleanup verification is mandatory.
G-10	Compact evidence	Non-PASS safety cannot be accepted	experiments/fuzzer_v0/family_a/safety_rules.yaml	build_v0p_compact_evidence.py	Independent negative fixture	FORMAL_SAFETY_STOP with ACCEPTED rejected	rejected	PASS	true	Safety classification remains separate.
H-01	Safety integration	Finite command values are checked	experiments/fuzzer_v0/family_a/safety_rules.yaml	check_v0p_safety.py	NaN fixture	FORMAL_SAFETY_STOP	stop	PASS	true	No non-finite command passes.
H-02	Safety integration	Finite controller observations are checked	experiments/fuzzer_v0/family_a/safety_rules.yaml	check_v0p_safety.py	NaN fixture	FORMAL_SAFETY_STOP	stop	PASS	true	No non-finite controller observation passes.
H-03	Safety integration	Finite actuator observations are checked	experiments/fuzzer_v0/family_a/safety_rules.yaml	check_v0p_safety.py	NaN fixture	FORMAL_SAFETY_STOP	stop	PASS	true	No non-finite actuator observation passes.
H-04	Safety integration	Height bounds are checked	experiments/fuzzer_v0/family_a/safety_rules.yaml	check_v0p_safety.py	Boundary fixture	height_boundary_exceeded	stop	PASS	true	The frozen one-meter loss bound is used.
H-05	Safety integration	Horizontal speed bounds are checked	experiments/fuzzer_v0/family_a/safety_rules.yaml	check_v0p_safety.py	Boundary fixture	horizontal speed excess stops	stop	PASS	true	Commanded and observed values are checked.
H-06	Safety integration	Vertical speed bounds are checked	experiments/fuzzer_v0/family_a/safety_rules.yaml	check_v0p_safety.py	Boundary fixture	vertical speed excess stops	stop	PASS	true	Commanded and observed values are checked.
H-07	Safety integration	Attitude and body-rate bounds are checked	experiments/fuzzer_v0/family_a/safety_rules.yaml	check_v0p_safety.py	Boundary fixtures	attitude and body-rate excess stop	stop	PASS	true	Frozen Family A limits are used.
H-08	Safety integration	Ground contact and PX4 abort are checked	experiments/fuzzer_v0/family_a/safety_rules.yaml	check_v0p_safety.py	Boolean fixtures	each condition stops	stop	PASS	true	No W1 envelope is used.
H-09	Safety integration	Clock stall and timeout are checked	experiments/fuzzer_v0/family_a/safety_rules.yaml	check_v0p_safety.py	Boolean fixtures	each condition stops	stop	PASS	true	Timeout remains FORMAL_SAFETY_STOP.
H-10	Safety integration	Route epoch presence is required	experiments/fuzzer_v0/family_a/safety_rules.yaml	check_v0p_safety.py	Missing-evidence fixture	MEASUREMENT_INSUFFICIENT	reject	PASS	true	Missing route identity is not safe.
H-11	Safety integration	Writer and controller lineage are required	experiments/fuzzer_v0/family_a/safety_rules.yaml	check_v0p_safety.py	Missing-evidence fixtures	MEASUREMENT_INSUFFICIENT	reject	PASS	true	Missing lineage is not PASS.
H-12	Safety integration	Critical-window completeness is required	experiments/fuzzer_v0/family_a/safety_rules.yaml	check_v0p_safety.py	Missing-evidence fixture	MEASUREMENT_INSUFFICIENT	reject	PASS	true	The cleanup window is separate.
H-13	Safety integration	Land and Disarm completion are required	experiments/fuzzer_v0/family_a/safety_rules.yaml	check_v0p_safety.py	Missing-evidence fixtures	MEASUREMENT_INSUFFICIENT	reject	PASS	true	Both terminal states are required.
H-14	Safety integration	All physical limits come from the frozen Family A contract	experiments/fuzzer_v0/family_a/safety_rules.yaml	check_v0p_safety.py	Source and result inspection	bounds_source=safety_rules and W1_or_B1_envelope_used=false	frozen Family A	PASS	true	No rejected W1 envelope enters.
H-15	Safety integration	Missing safety evidence is not treated as PASS	experiments/fuzzer_v0/family_a/safety_rules.yaml	check_v0p_safety.py	Empty fixture	MEASUREMENT_INSUFFICIENT	reject	PASS	true	All required fields are enumerated.
H-16	Safety integration	Safety monitoring is active during the bounded SITL scenario	experiments/fuzzer_v0/family_a/safety_rules.yaml	run_v0p_qualification.py	Independent control-flow inspection	safety checker is called only after scenario subprocess returns	active monitoring before and during scenario	FAIL	true	Post-path classification cannot stop an active boundary violation.
I-01	Cleanup process and port	A CLEAN fixture is accepted	experiments/fuzzer_v0/family_a/safety_rules.yaml	check_v0p_cleanup.py	Independent fixture	CLEAN	CLEAN	PASS	true	No process is terminated.
I-02	Cleanup process and port	Residual PX4 is detected	experiments/fuzzer_v0/family_a/safety_rules.yaml	check_v0p_runtime_residue.py	Independent process fixture	RESIDUAL_PROCESS	RESIDUAL_PROCESS	PASS	true	PX4 fixture only.
I-03	Cleanup process and port	Residual Gazebo and ROS are detected	experiments/fuzzer_v0/family_a/safety_rules.yaml	check_v0p_runtime_residue.py	Independent process fixtures	RESIDUAL_PROCESS	RESIDUAL_PROCESS	PASS	true	Gazebo launch/node markers are covered.
I-04	Cleanup process and port	Residual DDS Agent and recorder are detected	experiments/fuzzer_v0/family_a/safety_rules.yaml	check_v0p_runtime_residue.py	Independent process fixtures	RESIDUAL_PROCESS	RESIDUAL_PROCESS	PASS	true	DDS and collector markers are covered.
I-05	Cleanup process and port	Occupied UDP 8888 is detected	experiments/fuzzer_v0/family_a/safety_rules.yaml	check_v0p_runtime_residue.py	Independent port fixture	OCCUPIED_PORT	OCCUPIED_PORT	PASS	true	Fixture starts no communication.
I-06	Cleanup process and port	Occupied TCP 8888 is detected	experiments/fuzzer_v0/family_a/safety_rules.yaml	check_v0p_runtime_residue.py	Independent port fixture	OCCUPIED_PORT	OCCUPIED_PORT	PASS	true	Fixture starts no communication.
I-07	Cleanup process and port	Stale PID and lock state are detected	experiments/fuzzer_v0/family_a/safety_rules.yaml	check_v0p_runtime_residue.py	Independent stale-state fixtures	STALE_STATE	STALE_STATE	PASS	true	No user process is changed.
I-08	Cleanup process and port	Incomplete artifact closure is detected	experiments/fuzzer_v0/family_a/evidence_rules.yaml	check_v0p_cleanup.py	Independent closure fixture	INCOMPLETE_ARTIFACT_CLOSE	rejected	PASS	true	Runner collector flush and artifacts must all close.
I-09	Cleanup process and port	Missing terminal state is detected	experiments/fuzzer_v0/family_a/safety_rules.yaml	check_v0p_cleanup.py	Independent terminal fixture	MISSING_TERMINAL_STATE	rejected	PASS	true	Land and Disarm are both required.
I-10	Cleanup process and port	The live preflight residue and port audit is read-only	experiments/fuzzer_v0/family_a/safety_rules.yaml	check_v0p_runtime_residue.py	Read-only live scan	CLEAN and terminated_processes=[]	CLEAN	PASS	true	No other user process is terminated.
J-01	ROS Jazzy reproducible environment	The environment kind is a locked container contract	experiments/fuzzer_v0/family_a/readiness_amendment/environment_lock.yaml	verify_family_a_v0p_environment.py	Independent YAML inspection	LOCKED_REPRODUCIBLE_CONTAINER	LOCKED_REPRODUCIBLE_CONTAINER	PASS	true	Content claim only.
J-02	ROS Jazzy reproducible environment	The base digest resolves	experiments/fuzzer_v0/family_a/readiness_amendment/environment_lock.yaml	container registry	Registry manifest lookup	digest resolves	resolves	PASS	true	The manifest includes arm64.
J-03	ROS Jazzy reproducible environment	Architecture and OS base identity match	experiments/fuzzer_v0/family_a/readiness_amendment/environment_lock.yaml	Dockerfile and registry manifest	Independent cross-check	aarch64 and Ubuntu 24.04 base	aarch64 Ubuntu 24.04	PASS	true	Full image identity is reviewed separately.
J-04	ROS Jazzy reproducible environment	ROS and Gazebo distribution declarations match	experiments/fuzzer_v0/family_a/readiness_amendment/environment_lock.yaml	Dockerfile	Independent token inspection	jazzy and harmonic	jazzy and harmonic	PASS	true	Declaration does not prove installed package identity.
J-05	ROS Jazzy reproducible environment	Python and DDS declarations match the dependency lock	config/dependencies.lock.yaml	environment_lock.yaml	Independent cross-file check	Python 3.12.3 and DDS commit match	lock values	PASS	true	Execution confirmation is separate.
J-06	ROS Jazzy reproducible environment	PX4 and ROS workspace source commits match	config/dependencies.lock.yaml	local checkouts and environment lock	Independent git rev-parse	PX4 px4_msgs interface library and DDS commits match	all exact commits	PASS	true	Source checkout identity passes.
J-07	ROS Jazzy reproducible environment	The setup script and environment files match their hashes	experiments/fuzzer_v0/family_a/readiness_amendment/environment_lock.yaml	setup and Docker files	Independent SHA-256	all listed files match	all match	PASS	true	Shell syntax also passes.
J-08	ROS Jazzy reproducible environment	The host ROS installation is not selected	experiments/fuzzer_v0/family_a/readiness_amendment/environment_lock.yaml	host observation	Read-only path and environment inspection	only host Humble is present and selected=false	host not selected	PASS	true	Humble cannot substitute for Jazzy.
J-09	ROS Jazzy reproducible environment	The host ros2 command surface is readable	experiments/fuzzer_v0/family_a/readiness_amendment/environment_lock.yaml	/opt/ros/humble/bin/ros2	ros2 --help	exit 0	read-only help	PASS	false	This is not evidence for the selected Jazzy environment.
J-10	ROS Jazzy reproducible environment	The base image does not use a floating tag	config/dependencies.lock.yaml	Dockerfile	Source token inspection	FROM uses exact sha256	digest	PASS	true	The full image still lacks a digest.
J-11	ROS Jazzy reproducible environment	The environment checker starts no flight runtime	experiments/fuzzer_v0/family_a/readiness_amendment/environment_lock.yaml	verify_family_a_v0p_environment.py	Source and CLI inspection	runtime_started=false and no launch invocation	false	PASS	true	Its coverage is insufficient under J-13.
J-12	ROS Jazzy reproducible environment	The complete qualification image and package set have exact identity	config/dependencies.lock.yaml	Dockerfile and environment_lock.yaml	Independent reproducibility inspection	only base digest is locked; apt and most pip inputs are floating	full qualification image digest and package identity	FAIL	true	The environment cannot be reproduced from an exact complete identity.
J-13	ROS Jazzy reproducible environment	The selected Jazzy environment and required imports are independently confirmed	experiments/fuzzer_v0/family_a/readiness_amendment/environment_lock.yaml	container and workspace	Read-only container/import checks	container unavailable; Jazzy not executed; host interface import unavailable	Jazzy ros2 and all required imports PASS	FAIL	true	The amendment checker does not perform these checks.
J-14	ROS Jazzy reproducible environment	Every slot uses binaries built from the selected Jazzy and manifest identity	experiments/fuzzer_v0/family_a/readiness_amendment/implementation_manifest.yaml	runner and C1 scenario source	Independent binding and binary-path inspection	C1 defaults to ignored Humble-built Agent and adapter; Jazzy C1 executable absent	all runtime binaries exact and Jazzy	FAIL	true	P2/P3 instrumented binary identity is also not manifest-bound.
K-01	Accounting	Qualification target is three accepted attempts	experiments/fuzzer_v0/family_a/campaign_matrix.yaml	all qualification ledgers	Independent YAML cross-check	3	3	PASS	true	The target is unchanged.
K-02	Accounting	Qualification maximum is six formal attempts	experiments/fuzzer_v0/family_a/campaign_matrix.yaml	all qualification ledgers	Independent YAML cross-check	6	6	PASS	true	Attempt seven is refused.
