script	category	active_or_legacy	supported_family	purpose	inputs	outputs	dependencies	canonical_entrypoint	replacement	status
archive/pre_v4_baton/scripts/campaign_runner.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	scripts/probes/m1_diff_runner.py for minimal Family B replay only	archived
archive/pre_v4_baton/scripts/equivariance_floor_analysis.py	analysis	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/equivariance_transform.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/fuzz1_activation_mcnn.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/fuzz1b_locked_activation.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/fuzz1c_decontam_analyze.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/fuzz1c_severity_scan.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/install_raptor_unclipped_sih_board.sh	setup	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/m0_run_experiment.sh	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	scripts/probes/m1_diff_runner.py for minimal Family B replay only	archived
archive/pre_v4_baton/scripts/m0_set_raptor_mode.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/m1_inject_failure.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/m2_5_estimator_fairness.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/m2_5_estimator_scan.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/m2_6_noise_floor.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/m2_6_unshielded_scan.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/m2_map_elites.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/m2b_1_dump_raptor_input.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/m2b_1_inf_timeout_diag.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/m2b_1_ratio_diagnostics.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/m2b_nan_probe.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/m2b_noise_floor.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/m2b_state_map_elites.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/m2b_state_profiles.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/m2b_velocity_delay_verify.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/mcnn_gate1_bringup.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/mcnn_gate3_position_error_probe.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/multipolicy_differential.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/parallel_profile.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/px4_delivered_state_round5.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/px4_mixer_fingerprint_round5.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/px4_race_causality_round4.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/px4_race_r4_experiment.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/px4_rq3_redraw_round5.py	analysis	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/raptor_closeout_activation_probe.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/raptor_closeout_gz_probe.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/route_a_anchor_regression.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/route_a_property_fitness_check.py	analysis	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/rq2_archive_reanalysis.py	analysis	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/run_equivariance_probe.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/run_raptor_unclipped_ablation.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/run_switch_dense_sweep.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/smoke_2p3_search_loop.sh	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/smoke_dds_topics.sh	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/smoke_px4_raptor.sh	setup	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/theta_genome.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/tier05_fork_campaign.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/tier05_fork_finalize.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/tier05_p5_step_probe.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/utilities/archive_external_artifacts.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/utilities/build_artifact_manifest.py	setup	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/wave1_windphysics_report.py	analysis	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
