clause_id	category	required_condition	evidence_path	observed_value	expected_value	status	blocking	notes
F-01	Oracle identities	Route Oracle identity is 0.4	experiments/fuzzer_v0/family_a/oracle_lock.yaml	version=0.4	0.4	PASS	true	Executable and schema hashes match.
F-02	Oracle identities	Freshness Oracle identity is 0.1	experiments/fuzzer_v0/family_a/oracle_lock.yaml	version=0.1	0.1	PASS	true	Pre-revocation exposure remains non-collapsing.
F-03	Oracle identities	Successor Progression Oracle identity is 0.1	experiments/fuzzer_v0/family_a/oracle_lock.yaml	version=0.1	0.1	PASS	true	Lifecycle progression remains separate from Route conformance.
F-04	Oracle identities	Authority Event Linearization Oracle identity is 0.2	experiments/fuzzer_v0/family_a/oracle_lock.yaml	version=0.2	0.2	PASS	true	Applies only to accepted C1 event-pair grammar.
F-05	Oracle identities	Evidence Admissibility Gate identity is 1.0	experiments/fuzzer_v0/family_a/oracle_lock.yaml	version=1.0	1.0	PASS	true	Rejected attempts do not become SUT outcomes.
F-06	Oracle identities	All locked Oracle and schema hashes match	experiments/fuzzer_v0/family_a/oracle_lock.yaml	22 identity records match	all required records	PASS	true	Paths versions and hashes resolve.
F-07	Oracle identities	No Route Oracle 0.3 execution identity is used	experiments/fuzzer_v0/family_a/oracle_lock.yaml	old_Route_Oracle_0_3_identity_used=false	false	PASS	true	The retained route-oracle-v0.3-default string is only a 0.4 threshold-profile name.
F-08	Oracle identities	Outcome classes remain non-collapsing	experiments/fuzzer_v0/family_a/evidence_rules.yaml	UNKNOWN NOT_APPLICABLE and EXPOSURE remain distinct	distinct	PASS	true	No rejected attempt enters a SUT denominator.
G-01	Execution readiness	A unique V0-P qualification runner entry exists	scripts/fuzzer	no qualification-only runner entry	one unique V0-P runner	FAIL	true	The pre-M-FINAL executor is inadmissible and records Route Oracle 0.3.
G-02	Execution readiness	A qualification scenario mapping exists	scripts/fuzzer	no V0-P scenario mapping	exact Family A qualification mapping	FAIL	true	Legacy P5 matrices are comparison-era prototype inputs and cannot substitute.
G-03	Execution readiness	An exact deterministic qualification seed schedule is defined	experiments/fuzzer_v0/family_a/activation_review/qualification_runbook.md	six fixed canonical slots from accepted runtime seeds	exact fixed selection schedule	PASS	true	The schedule has no mutation strategy and stops at 3 accepted or 6 formal attempts.
G-04	Execution readiness	The raw artifact root is ignored and safely namespaced	.gitignore	runs/ ignored and source lock names runs/fuzzer_v0/family_a	ignored qualification raw root	PASS	true	No raw artifact is tracked.
G-05	Execution readiness	Qualification binds recorder and collector entries to its runner	scripts/tracing	individual collectors exist but no qualification integration	integrated recorder and collector invocation	FAIL	true	Route and clock collection components alone do not define a formal attempt.
G-06	Execution readiness	Required Oracle command-line entries exist	scripts/oracles	four locked Oracle CLIs expose static help	four locked entries	PASS	true	No Oracle runtime was invoked.
G-07	Execution readiness	A qualification compact-evidence generation path exists	scripts/analysis	no V0-P compact-evidence generator	exact qualification compact-evidence path	FAIL	true	Evidence rules require it but implementation is absent.
G-08	Execution readiness	A qualification cleanup-audit checker exists	scripts/validation	no qualification cleanup checker	exact cleanup-audit checker	FAIL	true	Scenario traps are not a post-attempt audit record.
G-09	Execution readiness	Process and port audit commands are specified for future readiness	experiments/fuzzer_v0/family_a/activation_review/qualification_runbook.md	static audit templates are defined	defined	PASS	false	They are review-only templates and do not cure the missing integrated checker.
G-10	Execution readiness	The qualification command cannot select a comparison strategy	scripts/fuzzer	no qualification mode exists to enforce strategy exclusion	machine-enforced V0-P-only mode	FAIL	true	Absence of a command is not evidence of safe selection.
G-11	Execution readiness	The required Family A adapter source entries exist	scripts/adapters and scripts/probes	External Mode and Offboard adapter sources exist	required adapter components	PASS	true	No qualification runner binds their exact executable identities.
G-12	Execution readiness	Route recorder and clock collector components exist	scripts/tracing	route trace clock bridge and actuator writer components exist	required collector components	PASS	true	Their locked hashes match; G-05 records the missing qualification integration.
H-01	Safety readiness	A unified qualification safety monitor can be statically checked before registration	scripts/probes	no V0-P safety-monitor entry	unified qualification safety-monitor entry	FAIL	true	Existing probe monitors cover different subsets and campaigns.
H-02	Safety readiness	Finite-value and all physical bounds are enforced by the qualification path	experiments/fuzzer_v0/family_a/safety_rules.yaml	rules frozen but no integrated V0-P enforcement	integrated finite height speed attitude and body-rate checks	FAIL	true	The review does not weaken any bound.
H-03	Safety readiness	PX4 abort and simulator clock-stall stop conditions are frozen	experiments/fuzzer_v0/family_a/safety_rules.yaml	both conditions present	present	PASS	true	No runtime was used to test them.
H-04	Safety readiness	Clock validation entry and thresholds exist	experiments/fuzzer_v0/family_a/oracle_lock.yaml	collector hash matches; 20 samples and 100 ms VALID threshold frozen	matching entry and thresholds	PASS	true	Invalid cross-domain evidence remains UNKNOWN.
H-05	Safety readiness	Route critical-window validation exists	scripts/oracles/route_oracle_v0.py	Route Oracle 0.4 validates transition and retained-route windows	matching entry	PASS	true	Missing coverage remains UNKNOWN.
H-06	Safety readiness	Land and Disarm cleanup semantics are defined	experiments/fuzzer_v0/family_a/safety_rules.yaml	public Land then observed or requested Disarm	defined	PASS	true	Qualification integration is still missing.
H-07	Safety readiness	A residual-process post-attempt checker exists	scripts/validation	no V0-P residual-process checker	exact checker	FAIL	true	Owned-process traps do not prove zero residual PX4 Gazebo ROS or DDS processes.
H-08	Safety readiness	An occupied-port preflight and post-attempt checker covers qualification	scripts/probes	inconsistent legacy per-script checks; no qualification checker	exact common checker	FAIL	true	Port 8888 must be checked before and after every formal attempt.
I-01	Accounting readiness	The qualification attempt ID format is fixed	experiments/fuzzer_v0/family_a/activation_review/qualification_attempt_ledger.yaml	next_attempt_id=V0P-A1	V0P-A1	PASS	true	The ledger is not authorized to register it.
I-02	Accounting readiness	A future formal attempt must be registered before launch	experiments/fuzzer_v0/family_a/evidence_rules.yaml	register_before_formal_runtime_start	required	PASS	true	The runbook preserves this order.
I-03	Accounting readiness	A rejected attempt cannot be deleted	experiments/fuzzer_v0/family_a/evidence_rules.yaml	delete_or_overwrite_attempt=forbidden	forbidden	PASS	true	Every registered attempt consumes the formal maximum.
I-04	Accounting readiness	The qualification formal maximum cannot increase	experiments/fuzzer_v0/family_a/campaign_matrix.yaml	maximum=6 and missing identity stops execution	6	PASS	true	A separate amendment cannot silently alter the freeze.
I-05	Accounting readiness	Attempt classifications are complete	experiments/fuzzer_v0/family_a/evidence_rules.yaml	7 frozen classifications	7	PASS	true	Oracle outcomes remain separate from classifications.
I-06	Accounting readiness	Raw and compact evidence hash requirements are complete	experiments/fuzzer_v0/family_a/evidence_rules.yaml	raw artifact SHA256 and compact evidence required	required	PASS	true	The missing generator is recorded separately as G-07.
I-07	Accounting readiness	The qualification ledger starts at zero	experiments/fuzzer_v0/family_a/activation_review/qualification_attempt_ledger.yaml	formal=0 accepted=0 attempts=[]	zero	PASS	true	Static validation does not enter the ledger.
J-01	Review closure	No frozen research-design value was modified	experiments/fuzzer_v0/family_a/activation_review/review_source_lock.yaml	15 frozen asset hashes unchanged	unchanged	PASS	true	The decision does not repair readiness gaps.
J-02	Review closure	The recorded gaps can be addressed without changing frozen seeds budgets thresholds state model or variation domain	docs/design/FAMILY_A_FUZZER_V0_ACTIVATION_REVIEW.md	implementation and environment readiness resolution required	no automatic research-design change	PASS	false	Any design change would require an independent amendment and review.
J-03	Review closure	No unresolved static environment or configuration blocker remains	experiments/fuzzer_v0/family_a/activation_review/review_source_lock.yaml	ROS Jazzy setup missing and no qualification integration	no unresolved blocker	FAIL	true	The locked source commits resolve but the execution environment does not match.
